Cluster,Total_distance,Parent_cluster,Child_cluster,Age,Gam,Win,Los,Poi,FG%,3P%,FT%,Tot,Ass,Tur,Ste,Blo,Per
40,13.22319680631339,8,4,0.2746987951808926,0.57831325301205,0.39518072289152695,0.18313253012047515,10.718072289157007,1.6877108433734023,6.360000000000017,0.5325301204822068,2.2626506024098205,1.5108433734940228,1.0481927710843557,0.14698795180720658,0.25783132530117747,2.6843373493975413
27,13.25843818876284,6,6,0.7554438860970656,0.7001675041875535,0.2897822445561298,0.4103852596315054,8.169179229480559,0.19631490787269712,9.692964824120512,0.4519262981569625,2.963149078726932,2.013400335008451,0.5494137353434407,0.5192629815745118,0.08375209380233306,0.3584589614739073
52,13.308973663180932,9,7,0.2979274611400555,0.5155440414508998,0.35492227979280333,0.16062176165798991,10.976683937823623,1.453626943005176,6.3841968911916425,0.03886010362700176,2.1968911917100797,1.1683937823835855,1.158031088082776,0.012953367875637944,0.4145077720206851,2.3575129533679693
39,13.89702604555441,8,3,1.7829787234041454,0.17872340425530275,0.13191489361702224,0.31063829787233566,0.0808510638298312,3.4348936170211815,11.87914893617019,5.36851063829787,1.1659574468085276,0.18297872340425458,0.8127659574468049,0.4340425531914889,0.20000000000000084,2.404255319148918
26,14.079379864752129,6,5,0.5612648221341594,0.4426877470356967,0.25494071146248753,0.18774703557305106,12.549407114624074,1.666798418972256,4.123122529644441,0.14545454545444159,2.7707509881427654,2.0415019762844437,1.0138339920949448,0.438735177865615,0.5612648221344463,2.636363636363864
44,14.127881928702655,8,8,0.9212007504688202,0.7335834896810818,0.29455909943714276,0.4390243902439437,8.191369606003722,0.7086303939962519,10.799061913696194,0.0714821763602771,3.015009380862999,2.0112570356473025,0.4183864915571931,0.5797373358348779,0.009380863039400111,0.24202626641642766
9,14.45345679501993,3,3,0.6864686468649133,0.4570957095710959,0.18646864686470543,0.2706270627063265,12.610561056106178,1.6095709570957197,4.228877887788695,0.9140264026399478,3.2871287128720184,2.4801980198022626,1.127062706270614,0.3102310231023999,0.6369636963696115,3.0082508250820226
49,14.471411928100848,9,4,1.089887640449696,0.4213483146067549,0.025280898876413715,0.4466292134831429,7.11516853932584,0.8002808988763874,12.248314606741586,0.27275280898891197,2.019662921348326,1.4578651685392838,0.3005617977528279,0.44382022471908433,0.05337078651685134,0.002808988764043008
51,18.62272414973156,9,6,1.4383561643835527,0.5479452054794756,0.28082191780822363,0.2671232876712182,14.41780821917834,2.038356164383579,5.806849315068529,2.4589041095890565,5.404109589040829,4.979452054794471,2.1575342465753273,0.4931506849315319,0.13698630136986267,5.794520547945247
18,19.1503603468161,5,3,1.11604095563143,0.18430034129688266,0.06825938566548118,0.2525597269624882,16.515358361773707,1.7453924914676477,3.333447098976027,2.383276450511943,4.880546075084851,4.686006825938733,1.880546075085416,0.5938566552900753,0.5119453924913984,4.781569965870084
13,19.256513763834693,4,3,1.1077441077441001,0.2255892255892178,0.03367003367005772,0.25925925925929594,16.710437710438725,1.74175084175085,3.212457912457783,2.345117845117798,5.080808080808367,4.51851851851837,2.0269360269358714,0.6262626262626902,0.5353535353534777,4.511784511784313
43,19.430782337568964,8,7,1.1599999999999255,0.19000000000004214,0.009999999999992681,0.1799999999999944,18.0199999999995,1.5764999999999958,0.27400000000004354,1.9320000000000306,4.424999999999841,3.180000000000149,1.579999999999945,0.9499999999999567,1.7249999999999952,3.0100000000001472
31,19.437385288339414,7,3,1.171568627451034,0.13725490196077317,0.0049019607843110435,0.14215686274510908,17.970588235293775,1.5700980392157362,0.3651960784314596,2.0137254901960944,4.627450980392027,3.1715686274510446,1.50490196078432,0.9852941176469887,1.6911764705882657,3.0392156862744812
