Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
24,7,5,2,122,39.1,17.6,84.6,33,83,27,10,10,13
27,6,2,4,119,49.4,0.0,82.5,54,5,6,4,13,18
22,14,7,7,117,43.8,37.1,63.2,24,16,12,10,4,28
27,8,5,3,115,42.7,30.3,82.1,9,40,12,11,0,10
29,5,1,4,109,33.0,27.3,88.9,56,9,8,2,12,16
24,5,1,4,108,40.6,16.1,78.1,20,23,12,2,3,15
35,14,7,7,107,38.0,26.7,75.0,71,22,16,20,10,54
37,5,1,4,106,45.2,23.5,92.9,52,12,10,2,2,16
29,21,16,5,105,53.2,0.0,84.0,51,38,21,8,5,32
32,21,16,5,104,44.3,34.8,81.8,27,18,12,6,1,24
22,10,6,4,100,44.3,37.5,47.6,80,18,6,12,2,16
34,6,2,4,99,36.2,29.3,79.2,46,29,5,7,0,16
28,11,6,5,98,33.3,22.2,84.6,52,19,16,5,5,18
23,6,2,4,95,38.0,32.4,93.3,22,12,10,14,3,14
30,19,14,5,89,56.0,0.0,38.5,153,36,26,11,34,69
30,12,6,6,89,47.2,0.0,70.0,66,12,11,4,12,25
34,20,14,6,87,34.7,34.4,92.9,29,9,5,8,3,42
25,16,8,8,87,42.3,21.4,67.7,53,13,11,11,9,25
23,5,1,4,85,47.8,47.8,76.9,20,2,6,6,1,13
33,7,3,4,81,47.9,22.2,69.2,43,25,9,5,3,24
25,4,0,4,81,40.0,37.5,82.4,25,23,10,6,0,12
32,10,6,4,79,44.7,0.0,47.8,66,15,14,9,3,32
32,10,5,5,76,42.5,25.0,83.3,20,21,4,5,0,16
33,7,3,4,76,36.3,0.0,58.8,23,25,11,2,0,14
29,10,6,4,75,37.1,40.0,68.4,24,23,10,4,1,14
26,4,0,4,74,44.4,40.6,83.3,9,15,10,2,2,11
31,6,2,4,74,51.9,33.3,100.0,25,27,20,7,1,14
23,6,2,4,73,42.3,0.0,58.3,27,29,16,7,6,14
31,6,2,4,71,39.1,42.3,85.7,37,33,16,8,0,18
26,5,1,4,71,34.3,33.3,76.9,43,26,12,1,1,11
26,7,3,4,71,50.0,57.1,100.0,19,8,5,2,0,15
25,20,15,5,70,54.0,0.0,55.2,62,6,12,1,10,25
26,4,0,4,70,33.3,16.7,96.9,12,28,14,3,0,10
20,6,2,4,69,36.6,0.0,73.9,42,16,11,3,9,18
30,12,6,6,69,40.8,0.0,35.0,132,38,20,10,14,37
38,11,6,5,69,40.3,25.0,88.9,47,11,7,7,2,17
33,10,6,4,68,37.7,46.2,76.9,55,8,14,2,10,21
32,6,2,4,66,61.0,62.5,66.7,21,7,8,4,1,9
33,10,6,4,66,49.1,14.3,75.0,52,15,13,24,11,27
29,7,3,4,65,51.3,46.7,84.6,13,10,5,2,0,10
24,11,5,6,63,30.3,23.3,80.0,30,9,8,6,6,22
32,15,8,7,63,32.0,34.4,80.0,43,4,5,2,3,38
