Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
27,7,3,4,204,43.9,36.0,86.2,35,37,25,6,11,20
29,13,7,6,203,39.4,27.7,71.4,56,54,32,14,3,27
25,14,10,4,193,46.5,33.3,83.3,49,58,34,19,7,28
23,11,4,7,188,42.1,13.3,73.2,82,24,21,12,17,36
29,13,7,6,187,49.4,0.0,67.3,109,23,22,7,3,45
26,16,10,6,184,54.8,0.0,65.7,120,42,31,20,10,65
28,11,4,7,180,41.7,34.3,62.2,49,39,32,14,0,24
34,22,15,7,176,39.4,28.4,86.1,45,49,24,21,1,61
31,16,10,6,174,49.7,20.0,65.7,94,34,26,18,14,60
26,7,3,4,170,38.8,37.0,87.5,20,21,8,3,1,22
23,21,11,10,169,43.5,27.3,88.5,39,27,20,19,3,42
24,14,7,7,166,57.5,0.0,66.7,162,20,33,6,37,51
24,6,2,4,160,45.9,47.1,87.0,29,17,13,8,7,15
29,10,5,5,158,43.8,25.0,77.6,51,13,21,9,4,24
28,9,5,4,154,54.5,0.0,90.2,98,9,17,4,11,27
34,14,10,4,147,44.9,15.4,63.6,109,17,9,5,13,47
31,11,4,7,145,46.2,54.2,95.5,37,46,24,10,2,34
21,23,16,7,144,45.7,0.0,65.1,86,10,19,8,21,77
31,10,5,5,143,38.9,37.3,76.7,28,19,16,6,3,18
27,5,1,4,143,54.6,21.4,71.0,21,34,21,6,1,13
20,7,3,4,138,49.2,0.0,80.0,44,45,35,4,5,25
29,11,4,7,130,34.1,28.0,86.5,30,28,14,12,3,17
25,6,2,4,129,44.9,39.3,65.2,38,40,24,11,0,9
33,6,2,4,127,47.5,30.0,82.4,38,32,19,7,1,17
29,7,3,4,127,40.2,31.6,85.3,31,16,12,9,7,20
23,6,2,4,117,49.0,25.0,70.0,45,8,10,3,10,16
36,10,5,5,114,45.8,44.7,85.0,58,59,20,22,3,24
28,16,10,6,112,48.1,25.0,76.7,38,10,13,13,5,41
31,14,7,7,108,51.9,48.6,90.9,20,13,6,11,0,26
23,13,7,6,106,42.4,40.9,86.4,12,9,11,2,1,11
30,13,7,6,105,40.7,31.5,95.7,64,31,15,14,9,33
27,5,1,4,103,52.8,0.0,77.1,66,11,15,8,2,18
23,21,15,6,103,43.4,48.0,79.2,25,13,10,10,2,27
25,5,1,4,101,41.4,36.0,82.9,19,54,21,9,2,17
33,5,1,4,99,53.2,0.0,60.7,40,16,7,3,6,11
26,14,10,4,97,50.0,0.0,68.2,90,8,15,18,16,49
25,13,7,6,97,55.7,0.0,57.6,51,3,14,4,5,27
30,15,10,5,97,63.0,0.0,65.9,95,9,8,5,32,42
24,14,8,6,97,47.0,42.5,75.0,45,7,2,5,1,17
25,16,7,9,96,37.3,40.4,92.9,19,31,7,8,1,26
24,10,5,5,94,55.0,0.0,90.3,41,7,4,7,4,22
22,20,14,6,94,39.1,30.8,73.7,28,33,18,9,3,16
28,5,1,4,90,40.0,0.0,89.7,37,6,14,5,2,19
28,7,3,4,88,46.8,43.3,68.0,19,20,8,12,3,18
20,7,3,4,85,38.6,30.8,76.5,51,7,11,2,7,14
24,5,1,4,83,41.1,31.3,85.7,22,52,24,8,0,8
34,19,12,7,82,37.6,30.0,50.0,26,39,12,11,0,28
30,6,2,4,80,54.9,0.0,75.0,27,9,10,3,9,18
29,21,15,6,80,42.7,31.3,61.1,52,45,20,14,3,41
25,24,13,11,78,65.4,0.0,62.5,76,3,11,9,15,39
25,10,5,5,76,43.7,31.3,69.2,20,34,6,3,0,13
25,11,4,7,76,41.5,0.0,76.2,76,3,14,5,3,40
33,7,3,4,72,47.1,71.4,79.2,55,9,21,2,6,25
33,13,10,3,72,46.0,60.0,79.3,48,3,7,6,7,25
21,6,2,4,72,44.3,41.7,83.3,27,8,8,6,1,17
24,7,3,4,71,51.0,0.0,76.0,92,16,8,6,15,31
23,13,7,6,69,33.3,25.0,74.2,38,32,17,12,1,23
25,23,16,7,69,26.4,31.4,83.3,32,12,10,10,4,34
30,11,4,7,68,43.1,28.6,66.7,16,10,4,6,3,29
28,7,3,4,67,53.1,50.0,91.7,16,5,4,3,1,19
22,7,3,4,67,43.8,0.0,78.6,44,6,11,7,20,23
23,9,4,5,62,42.4,0.0,66.7,52,18,4,6,6,26
31,12,6,6,61,42.3,44.8,100.0,26,12,5,2,5,43
23,4,0,4,60,39.3,0.0,85.7,9,21,6,0,0,9
25,10,5,5,59,48.8,38.1,81.8,13,10,4,3,2,30
24,5,1,4,59,51.0,0.0,50.0,40,8,6,4,5,17
29,6,2,4,59,48.9,41.7,71.4,24,37,9,5,0,11
29,7,3,4,59,54.3,0.0,90.0,61,3,6,3,3,19
22,6,2,4,58,41.2,37.5,66.7,15,17,12,3,1,10
33,10,5,5,57,61.1,0.0,61.9,61,7,19,4,9,41
32,5,1,4,57,37.5,26.3,84.6,31,3,10,3,0,12
32,5,1,4,56,36.7,30.8,92.3,14,2,6,4,1,17
28,5,1,4,55,46.8,20.0,71.4,14,10,5,11,3,6
24,6,2,4,54,31.8,25.0,66.7,18,3,5,5,4,10
28,5,1,4,53,39.1,46.2,71.4,11,13,2,3,1,9
30,5,1,4,53,45.9,52.6,100.0,15,1,6,1,4,14
31,4,0,4,53,35.6,20.0,90.0,11,20,10,5,1,12
34,4,0,4,52,52.3,0.0,100.0,34,2,5,2,3,17
32,14,7,7,52,30.3,25.0,100.0,13,25,10,1,0,15
23,7,3,4,51,40.0,28.6,71.4,19,31,17,20,1,21
24,5,1,4,51,40.8,0.0,68.8,23,13,11,7,1,9
23,14,10,4,47,32.5,35.7,100.0,7,6,7,1,3,18
26,4,0,4,47,46.2,25.0,100.0,6,10,8,5,0,9
27,6,2,4,47,41.2,36.4,33.3,6,7,5,0,1,13
24,6,2,4,45,42.9,42.1,100.0,17,6,9,8,3,12
33,21,10,11,45,46.7,0.0,60.0,20,2,2,0,3,12
34,16,10,6,44,40.8,16.7,50.0,32,34,11,15,1,27
32,12,9,3,43,44.4,16.7,81.8,28,7,9,2,1,19
36,5,1,4,40,44.1,46.7,75.0,15,5,4,1,1,8
22,7,3,4,37,31.0,30.0,100.0,17,4,6,2,0,18
29,6,2,4,35,64.0,0.0,75.0,47,3,6,2,9,24
28,5,1,4,33,37.5,36.8,66.7,8,9,4,1,0,10
